공간명,대여가능 여부,대여대상,대여기준대상,리스트페이지(URL),이용안내,지원시설,비고,데이터기준일자
다목적스튜디오(영상),대여가능,전체(비회원 제외),3,http://www.snmedia.or.kr/rental/space.asp,"간단한 사진부터 뉴스제작, 실시간 인터넷방송 등 촬영할 수 있는 다목적스튜디오입니다. 다목적 스튜디오는 사진촬영스튜디오와 영상촬영스튜디오로 사용가능 합니다.   기자재가 있는 공간으로 식음료를 드실 수 없으며, 공동주방을 이용해주시기 바랍니다. 다목적 스튜디오이용과 관련하여 더 궁금하신 사항은 안내데스크나 홈페이지를 통해 문의해주세요.  **성남미디어센터는영리적,정치적, 종교적, 법률위반등에 있어, 대관을 제한합니다. (문의:031-724-8356)  추가사용이 1시간을 넘으면 1타임(3시간 기준)으로 요금이 적용됩니다.",기본으로 영상의 경우 블루 스크린과 HD급 카메라 3대가 제공됩니다.  실시간 스트리밍이 가능한 스위처와 컴퓨터 프로그램(OBS)을 이용하여 유튜브 등 라이브 방송이 가능합니다.,"실시간 스트리밍이 가능하도록 기본세팅과 간단한 사용교육을 도와드립니다.  * 카메라 조작, 실시간 스트리밍을 위한 기타 장비(스위처) 조작은 대관자가 담당해야합니다. * 촬영한 영상을 가져가시기 위해서는 C-타입의 외부저장장치(SSD 또는 메모리 카드)를 지참하시기 바랍니다. * 예약 취소시에는 로그인 ▶홈페이지 우측 상단 ""마이페이지"" 클릭 ▶ 이용현황 클릭▶ 공간대관현황 클릭▶ 해당 예약건 취소 신청해주시면 됩니다.",2025-05-29
다목적스튜디오(포토),대여가능,전체(비회원 제외),3,http://www.snmedia.or.kr/rental/space.asp,"간단한 사진부터 뉴스제작, 실시간 인터넷방송 등 촬영할 수 있는 다목적스튜디오입니다. 다목적 스튜디오는 사진촬영스튜디오와 영상촬영스튜디오로 사용가능 합니다.   기자재가 있는 공간으로 식음료를 드실 수 없으며, 공동주방을 이용해주시기 바랍니다. 다목적 스튜디오이용과 관련하여 더 궁금하신 사항은 안내데스크나 홈페이지를 통해 문의해주세요.  **성남미디어센터는영리적,정치적, 종교적, 법률위반등에 있어, 대관을 제한합니다. (문의:031-724-8356)  추가사용이 1시간을 넘으면 1타임(3시간 기준)으로 요금이 적용됩니다.",사진용 조명 2개를 제공합니다.  블루스크린을 사용 할 수 있습니다.  배경지는 제공하지 않습니다.,"* 사진용 카메라는 미디어센터에서 대여하거나 본인이 지참하시기 바랍니다. * 카메라는 정회원만 대여가 가능합니다. * 예약 취소시에는 로그인 ▶홈페이지 우측 상단 ""마이페이지"" 클릭 ▶ 이용현황 클릭▶ 공간대관현황 클릭▶ 해당 예약건 취소 신청해주시면 됩니다.",2025-05-29
소리스튜디오,대여가능,전체(비회원 제외),1,http://www.snmedia.or.kr/rental/space.asp,"라디오 진행과 영상에 필요한 내레이션 녹음이가능한 소리스튜디오입니다. 유튜브, 아프리카 TV를 통해 보이는 라디오 방송이 가능합니다.   소리스튜디오는 최대 8명까지 사용이 가능합니다.  ※녹음시usb를꼭 준비하여 주시기 바랍니다. (단, 상업적 목적으로는 사용할 수 없으며 순수 모임 용도로 사용하셔야 합니다.)  기자재가 있어, 식음료를 드실 수 없으며 식음료의 경우 공동주방에서 드셔주시기 바랍니다. 소리스튜디오이용과 관련하여 더 궁금하신 사항은 안내데스크나 홈페이지를 통해 문의해주세요.  **성남미디어센터는영리적,정치적, 종교적, 법률위반등에 있어, 대관을 제한합니다. (문의:031-724-8356)","영상촬영용 카메라 2대(스튜디오 전체 촬영 1대, 카메라줌 및각도 조절이 가능한 카메라 1대) 디지털 음향 콘솔 스트리밍 지원 스위처","예약 취소시에는 로그인 ▶홈페이지 우측 상단 ""마이페이지"" 클릭 ▶ 이용현황 클릭▶ 공간대관현황 클릭▶ 해당 예약건 취소 신청해주시면 됩니다.",2025-05-29
일반강의실,대여가능,전체(비회원 제외),1,http://www.snmedia.or.kr/rental/space.asp,"소규모를 대상으로 모임이나 회의, 세미나가 가능한 일반강의실입니다. 일반강의실은 20명 정원의 책걸상을 제공하며회의 및 세미나 공간, 스터디 그룹등의 목적으로 사용가능합니다. (단, 상업적 목적으로는 사용할 수 없으며 순수 모임 용도로 사용하셔야 합니다.)  또한 환풍구가 없어 식음료를 드실 수 없습니다. 드실 경우, 별도로 휴게실에서 드셔주시기 바랍니다. 일반강의실 이용과 관련하여 더 궁금하신 사항은 안내데스크나 홈페이지를 통해 문의해주세요.  **성남미디어센터는영리적,정치적, 종교적, 법률위반등에 있어, 대관을 제한합니다. (문의:031-724-8356)","모니터 겸 전자칠판(99인치), 테이블, 의자, 칠판 운영가능","예약 취소시에는 로그인 ▶홈페이지 우측 상단 ""마이페이지"" 클릭 ▶ 이용현황 클릭▶ 공간대관현황 클릭▶ 해당 예약건 취소 신청해주시면 됩니다.",2025-05-29
미디어공방(실시간 1인방송 및 영상편집실),대여가능,전체(비회원 제외),1,http://www.snmedia.or.kr/rental/space.asp,"실시간 1인방송에 최적회되 공간입니다. FULL HD 동영상 까지 편집이 가능합니다.   (단, 상업목적의 영상으로는 사용할 수 없습니다. 퍼블릭 엑세스의 경우 제외)   * 촬영한 영상을 담아가기 위해서는 C-타입의 외부저장장치(SSD 또는 메모리 카드)가 필요합니다.  기자재가 있는 공간으로 식음료를 드실 수 없으며, 휴게실에서 드셔주시기 바랍니다. 미디어공방이용과 관련하여 더 궁금하신 사항은 안내데스크나 홈페이지를 통해 문의해주세요.  **성남미디어센터는영리적,정치적, 종교적, 법률위반등에 있어, 대관을 제한합니다. (문의:031-724-8356)"," 실시간 방송용 컴퓨터 1대(OBS 프로그램 설치)  편집용 컴퓨터 1대(어도비 CC 최신판 설치) FULLHD급 촬영용 카메라 2대  42인치 TV 1대  24인치 모니터 1대  배경지(그린, 화이트), 크로마키 가능 ","예약 취소시에는 로그인 ▶홈페이지 우측 상단 ""마이페이지"" 클릭 ▶ 이용현황 클릭 ▶ 공간대관현황 클릭 ▶ 해당 예약건 취소 신청해주시면 됩니다.",2025-05-29
미디어공방(전문편집실) 2,대여가능,전체(비회원 제외),1,http://www.snmedia.or.kr/rental/space.asp,"FULL HD 동영상 까지 편집이 가능한 미디어공방입니다. 미디어공방은 작업할 수 있는 컴퓨터로 공방 1은 Windows(Adobe Premiere CS6)와 공방 2 Mac(iMovie, Final Cut Pro 7, X)로 이뤄져 있으며 같은 공간에서 진행됩니다. (단, 상업목적의 영상으로는 사용할 수 없습니다. 퍼블릭 엑세스의 경우 제외)  편집 후 백업이 가능한 이동식 디스크/외장하드에 프로젝트 파일 또는 완성파일을 담아가시기 바랍니다.  기자재가 있는 공간으로 식음료를 드실 수 없으며, 휴게실에서 드셔주시기 바랍니다. 미디어공방 이용과 관련하여 더 궁금하신 사항은 안내데스크나 홈페이지를 통해 문의해주세요.  **성남미디어센터는영리적,정치적, 종교적, 법률위반등에 있어, 대관을 제한합니다. (문의:031-724-8356)",,"예약 취소시에는 로그인 ▶홈페이지 우측 상단 ""마이페이지"" 클릭 ▶ 이용현황 클릭▶ 공간대관현황 클릭▶ 해당 예약건 취소 신청해주시면 됩니다.",2025-05-29
미디어홀(상영관),대여가능,전체(비회원 제외),3,http://www.snmedia.or.kr/rental/space.asp,"작은 상영회부터 발표회까지 다방면으로 사용가능한 미디어홀입니다. 미디어홀은 관객석 97석으로 이뤄진 작은 영화관 입니다. 영상 상영회부터 발표회, 세미나 등 다양한 용도로 사용가능합니다. 단, 상업목적으로 (관람료 징수 등)미디어홀을 사용할 수 없습니다.)  깨끗한 상영환경을 위해식음료를 드실 수 없으며,입구에 앉아서 쉬실 수 있는 휴게 공간에서드셔주시기 바랍니다. 미디어홀 이용과 관련하여 더 궁금하신 사항은 안내데스크나 홈페이지를 통해 문의해주세요.  *이용방법 : 성남미디어센터 공간 대관신청 - 센터방문 대관료 납부(주차권요청) 및 공간셋팅(음향, 영상 등) - 행사 진행, 정리 - 행사 종료 후 센터 종료 안내(031-724-8370)  **성남미디어센터는영리적,정치적, 종교적, 법률위반등에 있어, 대관을 제한합니다.",,"예약 취소시에는 로그인 ▶홈페이지 우측 상단 ""마이페이지"" 클릭 ▶ 이용현황 클릭▶ 공간대관현황 클릭▶ 해당 예약건 취소 신청해주시면 됩니다.",2025-05-29
디지털교육실1,대여가능,전체(비회원 제외),1,http://www.snmedia.or.kr/rental/space.asp,"소규모를 대상으로미디어교육 진행가능,실습이 가능한 디지털교육실1입니다. 디지털교육실1은 14명 정원의 책걸상과 고사양의 PC와 27인치 모니터를 제공하며, 스터디 그룹및 교육실습등의 목적으로 사용가능합니다.  또한 환풍구가 없어 식음료를 드실 수 없습니다. 드실 경우, 별도로 휴게실에서 드셔주시기 바랍니다. 일반강의실 이용과 관련하여 더 궁금하신 사항은 안내데스크나 홈페이지를 통해 문의해주세요.  **성남미디어센터는영리적,정치적, 종교적, 법률위반등에 있어, 대관을 제한합니다. (문의:031-724-8356)","고사양 PC,27"" 모니터 각14대 설치 프로그램 Adobe CCMaster Collection","예약 취소시에는 로그인 ▶홈페이지 우측 상단 ""마이페이지"" 클릭 ▶ 이용현황 클릭▶ 공간대관현황 클릭▶ 해당 예약건 취소 신청해주시면 됩니다.",2025-05-29
디지털교육실2,대여가능,전체(비회원 제외),1,http://www.snmedia.or.kr/rental/space.asp,"소규모를 대상으로미디어교육 진행가능,실습이 가능한 디지털교육실2입니다. 디지털교육실2은 12명 정원의 전자칠판과 책걸상을제공하며, 미디어 스터디 그룹및 교육실습등의 목적으로 사용가능합니다.  또한 환풍구가 없어 식음료를 드실 수 없습니다. 드실 경우, 별도로 휴게실에서 드셔주시기 바랍니다. 일반강의실 이용과 관련하여 더 궁금하신 사항은 안내데스크나 홈페이지를 통해 문의해주세요.  **성남미디어센터는영리적,정치적, 종교적, 법률위반등에 있어, 대관을 제한합니다. (문의:031-724-8356)",2인용 책상 6개 의자12개 전자칠판(인터랙티브화이트보드) 1개 - 98인치/ 4K UHD/ LG패널/ 3840*2160 해상도/ IR터치   ,"예약 취소시에는 로그인 ▶홈페이지 우측 상단 ""마이페이지"" 클릭 ▶ 이용현황 클릭▶ 공간대관현황 클릭▶ 해당 예약건 취소 신청해주시면 됩니다.",2025-05-29
영상변환(VHS 테이프 디지털 영상 변환),대여가능,전체(비회원 제외),1,http://www.snmedia.or.kr/rental/space.asp,"** <필독> VHS, 6mm 테이프,8mm 테이프(VHS-C) 변환 지원 가능합니다.  ** PAL 방식(유로 방식) 비디오 테이프는 변환 불가능합니다!  ** 예약 시 변환하고자 하는 테이프 종류를 꼭 기입해주세요!  ** 주차권 제공&판매하지 않습니다. 이용에 참고 바랍니다.   예약과 예약 사이 1시간은 예약 클릭이 안됩니다.   최소한 3시간이상 빈 시간만 예약 클릭이 가능합니다.   혹시 모를 상황으로 앞 예약자의 이용시간이 길어질 수 있다는 점과   공간의 소독 진행으로 위 시간 비워둔 점 참고 부탁드립니다.     성남미디어센터가 시민여러분들의 소중한 추억을 되살려 드립니다.  가정에서 VHS테이프로 보관하고있는 소중한 추억을 디지털로 만들어보세요.  VHS테이프에 담긴 가정의 소중한 기록, 지금은 비디오 플레이어도 구할 수 없어  보관만하고 계셨지요  나의 유치원 재롱잔치, 초등학교 졸업식, 할아버지 환갑잔치, 아버지가 찍어준  생일날 영상을 디지털로 되살려보세요.  코로나 19로 만나지못한 가족들과 영상을 공유해보세요. 유튜브로도 공유해보세요.  나의 기록, 세계인과 만날 수있는 기회를 만들어보세요.   * 이용방법  1. 홈페이지 가입(회원가입시 미디어센터 회원가입에 □ 체크 해주셔야됩니다.)  2. 공간대관/영상변환 메뉴 클릭  3. 사용일, 사용시간, 사용목적 입력  4. 대관완료  *디지털로 변화하는 시간은 녹화된 영상의 길이와 동일합니다.   수량의 제한은 없습니다.  * 파일을 받아가실 휴대용 저장장치(USB, 와장하드)를 지참해 주시기 바랍니다.  * 영상파일의 용량은60분짜리 테이프 : 5기가   120분짜리 테이프 : 10기가  * 별도의 비용 없이 누구나 이용이 가능합니다. ","* VHS 테이프: VHS플레이어 2대 + 노크북2대  * 6MM 테이프: 6MM 데크1대 + 노트북1대  * 8MM테이프: 8MM 비디오 컨버터 1대 + VHS플레이어 1대 +노트북 1대  * 디지털변환은 신청인이 직접 진행합니다. (디지털 변환 - 2분정도 교육 충분)  * 디지털변환장치 변경, 화질개선 프로그램 설치, 테스트등 시스템 고장 원인이 될   수 있어자제 요청드립니다.  * 노후 기자재 사용으로갑작스러운고장에대관이 취소될수있습니다.   <노후 장비 부품 수급이 어려워수리 불가> ","예약 취소시에는 로그인 ▶홈페이지 우측 상단 ""마이페이지"" 클릭 ▶ 이용현황 클릭▶ 공간대관현황 클릭▶ 해당 예약건 취소 신청해주시면 됩니다.",2025-05-29
